Record,GL_Weight_Premium,GL_Indicated_Premium_Scale_Score,GL_Exposure_Size_Scale_Score,GL_YuM_Scale_Score,GL_OSHA_Scale_Score,GL_Teiring_Industry_Scale_Score,GL_Hazard_Class_Scale_Score,GL_Estimated_Premium_Points,GL_Exposure_Size_Points,GL_YuM_Points,GL_OSHA_Points,GL_Teiring_Industry_Points,GL_Hazard_Class_Points,Property_Weight_Premium,Property_TIV_Size_Scale_Score,Property_Estimated_Premium_Scale_Score,Property_TIV_Dispersion_Scale_Score,Property_YuM_Scale_Score,Property_Construction_Grade_Scale_Score,Property_Poor_Construction_Scale_Score,Property_PPC_Factor_Scale_Score,Property_Poor_PPC_Scale_Score,Property_Average_Age_Scale_Score,Property_Hurricane_Premium_Scale_Score,Property_Hurricane_Dispersion_Scale_Score,Property_BG2_Symbol_Scale_Score,Property_Flood_Premium_Scale_Score,Property_Fllod_Dispersion_Scale_Score,Property_Bad_Flood_Terr_(A&V)_Scale_Score,Property_Average_Crime_Scale_Score,Property_Poor_Crime_Terr_Scale_Score,Property_TIV_Size_Points,Property_Indicated_Premium_Points,Property_TIV_Dispersion_Points,Property_YuM_Points,Property_Construction_Grade_Points,Property_Poor_Construction_(1&2)_Points,Property_PPC_Factor_Points,Property_Poor_PPC_(8+)_Points,Property_Average_Age_Points,Property_Hurricane_Premium_Points,Property_Hurricane_Dispersion_Points,Property_BG2_Points,Property_Flood_Premium_Points,Property_Fllod_Dispersion_Points,Property_Bad_Flood_Terr_(A&V)_Points,Property_Average_Crime_Points,Property_Poor_Crime_Terr_(150+)_Points,Auto_Weight_Premium,Auto_Indicated_Single_Vihicle_Premium_Scale_Score,Auto_Indicated_Total_Premium_Scale_Score,Auto_NAICS_Factor_Scale_Score,Auto_Primary_Factor_Scale_Score,Auto_Crashes_Scale_Score,Auto_Indicated_Single_Vihicle_Premium_Points,Auto_Indicated_Total_Premium_Points,Auto_NAICS_Factor_Points,Auto_Primary_Factor_Points,Auto_Crashes_Points
1,"16,267",28,29,0,0,10,10,2,2,1,,1,1,"41,115",47,56,100,0,74,98,23,0,47,33,100,10,38,100,,37,0,3,3,5,1,4,5,2,1,3,2,5,1,2,5,,2,1,"90,230",97,98,98,96,90,5,5,5,5,4
2,"24,951",39,8,0,0,10,10,3,1,1,,1,1,"1,609",6,3,100,0,50,0,26,0,,0,100,10,3,95,,7,0,1,1,5,1,3,1,2,1,,1,5,1,1,5,,1,1,"2,454",63,10,67,77,,3,1,3,3,
3,"2,701",5,26,0,0,35,10,1,2,1,,2,1,"25,135",66,40,44,0,12,0,13,0,19,44,45,49,20,100,,25,0,3,3,3,1,1,1,2,1,2,3,3,3,2,5,,2,1,891,61,,17,61,,3,,2,3,
4,"12,363",,,0,0,35,10,,,1,,2,1,"37,088",89,52,97,0,2,0,25,0,3,0,,10,40,54,,40,0,4,3,5,1,1,1,2,1,1,1,,1,3,3,,3,1,"4,080",59,,10,78,,3,,1,3,
5,973,2,4,51,0,35,10,1,1,3,,2,1,"3,724",13,7,100,51,12,0,13,0,4,9,100,10,4,100,,79,0,2,1,5,3,1,1,2,1,1,1,5,1,1,5,,3,1,321,58,,21,51,,3,,2,3,
6,"2,684",5,3,10,0,10,10,1,1,1,,1,1,"10,164",12,18,100,10,50,0,82,100,,1,100,10,5,100,,37,0,1,2,5,1,3,1,4,5,,1,5,1,1,5,,2,1,671,34,,61,13,,2,,3,2,
7,203,0,0,,0,35,10,1,1,,,2,1,"18,679",47,31,100,,100,98,26,0,47,11,100,10,23,100,,44,0,3,2,5,,5,5,2,1,3,1,5,1,2,5,,3,1,67,80,,8,83,,3,,1,4,
8,"3,109",6,11,,0,10,10,1,1,,,1,1,"8,417",22,15,80,,22,35,24,0,24,0,,10,10,79,,23,0,2,2,3,,2,2,2,1,2,1,,1,1,3,,2,1,777,48,,71,43,,3,,3,3,
9,"1,642",3,11,10,0,35,10,1,1,1,,2,1,"118,431",91,91,5,10,41,0,26,0,25,53,5,39,56,9,,63,0,4,4,1,1,3,1,2,1,2,3,1,3,3,1,,3,1,542,66,,17,59,,3,,2,3,
10,"36,084",51,53,,0,35,10,3,3,,,2,1,"53,024",89,65,13,,12,0,25,0,48,72,12,10,52,9,,49,0,4,3,2,,1,1,2,1,3,3,1,1,3,1,,3,1,"11,908",,,52,50,,,,3,3,
11,448,1,1,0,0,10,10,1,1,1,,1,1,"2,789",14,5,84,0,74,98,38,0,79,0,,10,23,93,,50,55,2,1,4,1,4,5,2,1,3,1,,1,2,4,,3,3,"10,261",42,36,64,15,,3,2,3,2,
12,409,1,0,0,0,35,10,1,1,1,,2,1,"7,694",21,14,100,0,100,98,26,0,,11,100,100,9,99,,6,0,2,2,5,1,5,5,2,1,,1,5,5,1,5,,1,1,135,68,,12,73,,3,,1,3,
13,"10,498",19,94,0,0,50,90,2,4,1,,3,4,"89,771",98,83,100,0,50,0,10,0,96,0,,10,73,100,,70,0,5,4,5,1,3,1,1,1,5,1,,1,3,5,,3,1,"3,464",69,,11,76,,3,,1,3,
14,"6,027",,,0,0,10,10,,,1,,1,1,"6,027",79,11,5,0,51,43,38,0,52,0,,10,42,9,,68,0,3,1,1,1,3,3,2,1,3,1,,1,3,1,,3,1,"1,507",43,,67,46,,3,,3,3,
15,"8,244",,,26,0,50,10,,,2,,3,1,"8,244",9,15,5,26,98,98,82,100,20,0,5,10,6,97,,57,0,1,2,1,2,5,5,4,5,2,1,1,1,1,5,,3,1,"12,899",40,43,97,22,,3,3,5,2,
16,"1,770",3,79,1,0,50,10,1,3,1,,3,1,"22,006",57,36,54,1,100,98,17,0,3,36,54,10,29,40,,36,0,3,2,3,1,5,5,2,1,1,2,3,1,2,3,,2,1,584,53,,26,43,,3,,2,3,
17,"50,000",,,1,0,50,10,,,1,,3,1,"50,000",,,,1,,,,,,,,,,,,59,,,,,1,,,,,,,,,,,,3,,"12,500",47,,99,0,,3,,5,1,
18,376,1,22,0,0,50,90,1,2,1,,3,4,"15,402",46,27,100,0,74,98,17,0,96,0,,64,68,100,,99,100,3,2,5,1,4,5,2,1,5,1,,3,3,5,,5,5,124,48,,57,8,,3,,3,1,
19,"11,109",20,7,,0,10,10,2,1,,,1,1,"11,294",11,20,100,,0,0,26,0,39,2,100,10,14,95,,36,0,1,2,5,,1,1,2,1,3,1,5,1,2,5,,2,1,"2,777",80,,69,87,,3,,3,4,
20,"34,359",,,0,0,50,10,,,1,,3,1,"103,076",98,87,3,0,100,98,23,0,59,0,,10,77,3,,53,0,5,4,1,1,5,5,2,1,3,1,,1,3,1,,3,1,"11,338",56,,40,22,,3,,3,2,
21,"12,555",22,10,,0,10,10,2,1,,,1,1,"25,241",49,40,97,,70,97,69,100,,3,97,64,26,91,,65,0,3,3,5,,4,5,3,5,,1,5,3,2,4,,3,1,"3,139",46,,64,33,,3,,3,2,
22,"21,204",,,51,0,50,10,,,3,,3,1,"21,204",62,35,24,51,18,24,19,0,6,0,,10,84,92,100,18,0,3,2,2,3,1,2,2,1,1,1,,1,4,4,5,2,1,"5,301",58,,99,0,,3,,5,1,
23,"5,663",11,21,1,0,10,10,1,2,1,,1,1,"1,304",4,3,100,1,50,0,23,0,1,0,100,64,2,100,,42,0,1,1,5,1,3,1,2,1,1,1,5,3,1,5,,3,1,"1,533",46,6,64,33,,3,1,3,2,
24,"4,108",,,,0,10,10,,,,,1,1,"4,108",12,8,29,,68,75,69,100,11,0,,10,35,100,100,37,0,1,1,2,,4,3,3,5,1,1,,1,2,5,5,2,1,"1,027",43,,67,46,,3,,3,3,
25,"2,494",5,2,19,0,35,10,1,1,2,,2,1,928,2,2,100,19,100,98,23,0,96,0,100,10,1,95,,71,0,1,1,5,2,5,5,2,1,5,1,5,1,1,5,,3,1,823,86,,9,82,,4,,1,4,
26,"3,557",7,81,37,0,50,10,1,4,2,,3,1,"61,402",77,71,7,37,100,98,38,0,5,0,,10,12,100,,19,0,3,3,1,2,5,5,2,1,1,1,,1,1,5,,2,1,"1,174",36,,77,1,,2,,3,1,
27,"3,285",6,74,0,0,50,90,1,3,1,,3,4,"79,370",88,80,4,0,100,98,10,0,4,0,,10,92,36,91,39,0,4,3,1,1,5,5,1,1,1,1,,1,4,2,4,3,1,"1,084",40,,58,7,,3,,3,1,
28,"26,386",41,23,0,0,10,10,3,2,1,,1,1,"26,386",47,,100,0,50,0,38,0,,,100,10,,100,,61,0,3,,5,1,3,1,2,1,,,5,1,,5,,3,1,"13,193",66,,93,54,,3,,4,3,
29,"3,600",7,10,0,0,10,10,1,1,1,,1,1,"13,650",40,24,95,0,50,0,17,0,37,0,,10,21,95,,20,0,3,2,5,1,3,1,2,1,2,1,,1,2,5,,2,1,900,61,,70,85,,3,,3,4,
30,"10,479",19,10,,0,10,10,2,1,,,1,1,"13,744",19,24,88,,50,0,82,100,2,6,88,10,11,88,,74,0,2,2,4,,3,1,4,5,1,1,4,1,1,4,,3,1,"5,239",67,,93,55,,3,,4,3,
31,"50,000",,,0,0,10,10,,,1,,1,1,"50,000",,,,0,,,,,,,,,,,,61,,,,,1,,,,,,,,,,,,3,,"3,914",80,16,69,87,,3,2,3,4,
32,"12,021",,,0,0,10,10,,,1,,1,1,"12,021",32,21,100,0,50,0,23,0,22,1,100,64,15,99,,27,0,2,2,5,1,3,1,2,1,2,1,5,3,2,5,,2,1,"3,005",46,,64,33,,3,,3,2,
33,"5,557",11,12,0,0,35,10,1,1,1,,2,1,"29,747",62,45,100,0,12,0,13,0,23,93,100,64,30,99,,66,0,3,3,5,1,1,1,2,1,2,4,5,3,2,5,,3,1,"1,834",86,,4,92,,4,,1,4,
34,"15,113",26,40,51,0,10,10,2,3,3,,1,1,"24,753",51,39,4,51,36,0,24,0,44,12,4,10,17,31,,45,0,3,3,1,3,2,1,2,1,3,1,1,1,2,2,,3,1,"9,129",54,33,67,58,,3,2,3,3,
35,"1,766",3,88,1,0,50,90,1,4,1,,3,4,"31,456",70,47,3,1,100,98,17,0,2,48,3,10,39,3,,25,0,3,3,1,1,5,5,2,1,1,3,1,1,3,1,,2,1,583,57,,22,51,,3,,2,3,
36,870,2,27,0,0,50,90,1,2,1,,3,4,"13,310",35,23,100,0,100,98,26,0,16,0,,10,16,99,,18,0,2,2,5,1,5,5,2,1,2,1,,1,2,5,,2,1,287,50,,18,60,,3,,2,3,
37,"45,304",60,100,0,0,50,90,3,5,1,,3,4,"28,628",58,44,100,0,100,98,26,0,16,63,100,10,30,100,,36,0,3,3,5,1,5,5,2,1,2,3,5,1,2,5,,2,1,"14,950",64,,12,74,,3,,1,3,
38,"1,341",3,2,0,0,10,10,1,1,1,,1,1,"1,203",3,2,100,0,100,98,23,0,68,0,,10,0,,,0,0,1,1,5,1,5,5,2,1,3,1,,1,1,,,1,1,335,48,,67,68,,3,,3,3,
39,"7,926",15,43,3,0,10,10,2,3,1,,1,1,"10,311",34,19,100,3,50,0,23,0,29,0,,10,15,99,,48,0,2,2,5,1,3,1,2,1,2,1,,1,2,5,,3,1,"1,982",54,,69,83,,3,,3,4,
40,"19,697",33,33,,0,10,10,2,2,,,1,1,"10,039",23,18,100,,12,0,13,0,80,5,100,64,10,99,,82,100,2,2,5,,1,1,2,1,3,1,5,3,1,5,,4,5,"4,924",82,,70,86,,4,,3,4,
41,"50,000",,,0,0,35,10,,,1,,2,1,"50,000",,,,0,,,,,,,,,,,,67,,,,,1,,,,,,,,,,,,3,,"16,500",43,,38,25,,3,,2,2,
42,"5,167",10,11,0,0,10,10,1,1,1,,1,1,"17,963",25,30,53,0,34,0,18,0,37,0,,43,54,84,100,60,0,2,2,3,1,2,1,2,1,2,1,,3,3,4,5,3,1,"7,135",53,27,64,29,,3,2,3,2,
43,"140,807",94,10,0,0,10,10,4,1,1,,1,1,"140,807",,,,0,,,,,66,,,,,,,60,,,,,1,,,,,3,,,,,,,3,,"35,202",49,,69,42,,3,,3,3,
44,"2,571",5,37,0,0,10,10,1,2,1,,1,1,"41,847",71,57,99,0,74,98,10,0,98,0,,64,47,95,,67,0,3,3,5,1,4,5,1,1,5,1,,3,3,5,,3,1,643,74,,71,88,,3,,3,4,
45,"41,101",56,8,0,0,10,10,3,1,1,,1,1,"3,387",6,7,90,0,50,0,38,0,14,3,90,64,3,90,,59,0,1,1,4,1,3,1,2,1,2,1,4,3,1,4,,3,1,"10,275",49,,66,45,,3,,3,3,
46,"26,666",41,20,19,0,10,10,3,2,2,,1,1,"11,786",35,21,5,19,59,75,11,0,20,0,,10,18,16,,57,99,2,2,1,2,3,3,1,1,2,1,,1,2,2,,3,5,"13,785",52,45,95,72,,3,3,5,3,
47,"19,376",32,18,0,0,10,10,2,2,1,,1,1,"19,376",,,,0,,,,,41,,,,,,,48,,,,,1,,,,,3,,,,,,,3,,"4,844",61,,70,85,,3,,3,4,
48,"10,275",19,10,0,0,10,10,2,1,1,,1,1,"84,356",79,81,18,0,50,3,38,0,58,39,18,10,25,100,,37,0,3,4,2,1,3,1,2,1,3,3,2,1,2,5,,2,1,"5,791",69,22,71,62,,3,2,3,3,
49,"10,505",,,0,0,50,10,,,1,,3,1,"31,514",67,47,5,0,74,98,23,0,95,20,5,10,37,5,,61,0,3,3,1,1,4,5,2,1,5,2,1,1,2,1,,3,1,"3,467",90,,5,90,,4,,1,4,
50,"67,859",74,18,14,0,10,10,3,2,2,,1,1,"33,675",75,49,38,14,38,2,26,0,87,0,,10,57,100,,64,0,3,3,2,2,2,1,2,1,4,1,,1,3,5,,3,1,"16,965",43,,67,46,,3,,3,3,
51,"33,686",,,0,0,50,10,,,1,,3,1,"101,058",93,87,4,0,100,98,10,0,4,0,,10,100,15,100,69,100,4,4,1,1,5,5,1,1,1,1,,1,5,2,5,3,5,"11,116",40,,58,7,,3,,3,1,
52,"1,213",2,9,0,0,35,10,1,1,1,,2,1,"17,046",48,29,3,0,12,0,25,0,29,0,,32,54,14,97,49,91,3,2,1,1,1,1,2,1,2,1,,2,3,2,5,3,4,400,56,,29,38,,3,,2,2,
53,"50,000",,,0,0,10,10,,,1,,1,1,"50,000",,,,0,,,,,,,,,,,,51,,,,,1,,,,,,,,,,,,3,,"8,081",68,30,70,84,,3,2,3,4,
54,"3,498",,,,0,10,10,,,,,1,1,"3,498",31,7,54,,12,0,29,0,33,1,54,10,5,100,,10,0,2,1,3,,1,1,2,1,2,1,3,1,1,5,,1,1,874,46,,64,33,,3,,3,2,
55,"14,586",,,0,0,35,10,,,1,,2,1,"43,757",58,58,7,0,58,73,10,0,14,20,9,37,29,9,,55,0,3,3,1,1,3,3,1,1,2,2,1,2,2,1,,3,1,"4,813",75,,12,72,,3,,1,3,
56,"16,370",,,0,0,50,10,,,1,,3,1,"49,111",73,63,6,0,100,98,10,0,4,0,,10,35,18,14,33,0,3,3,1,1,5,5,1,1,1,1,,1,2,2,2,2,1,"5,402",40,,58,7,,3,,3,1,
57,"4,281",,,1,0,10,10,,,1,,1,1,"4,281",19,8,100,1,12,0,20,0,,0,,10,8,100,,40,0,2,1,5,1,1,1,2,1,,1,,1,1,5,,3,1,"1,070",61,,70,85,,3,,3,4,
58,"17,864",30,41,5,0,10,10,2,3,1,,1,1,"11,948",26,21,100,5,50,0,10,0,37,0,,64,11,99,,49,0,2,2,5,1,3,1,1,1,2,1,,3,1,5,,3,1,"4,466",73,,99,87,,3,,5,4,
59,"6,397",12,82,,0,50,90,1,4,,,3,4,"85,978",100,82,100,,0,0,13,0,15,0,,10,69,100,,83,100,5,4,5,,1,1,2,1,2,1,,1,3,5,,4,5,"2,111",69,,11,76,,3,,1,3,
60,"4,599",9,98,0,0,50,10,1,5,1,,3,1,"172,200",100,97,8,0,100,98,10,0,9,97,7,10,96,8,,42,0,5,5,1,1,5,5,1,1,1,5,1,1,5,1,,3,1,"1,518",42,,42,19,,3,,3,2,
61,"50,000",,,0,0,50,10,,,1,,3,1,"50,000",,,,0,,,,,,,,,,,,25,,,,,1,,,,,,,,,,,,2,,"12,500",81,,99,86,,4,,5,4,
62,"1,108",2,4,0,0,35,10,1,1,1,,2,1,"11,306",36,20,7,0,84,93,17,0,35,0,,10,13,13,,44,0,2,2,1,1,5,4,2,1,2,1,,1,2,2,,3,1,366,43,,31,31,,3,,2,2,
63,"5,182",10,25,7,0,35,10,1,2,1,,2,1,"59,532",72,70,14,7,39,81,18,0,17,0,,10,21,13,,35,0,3,3,2,1,2,4,2,1,2,1,,1,2,2,,2,1,"1,710",48,,53,9,,3,,3,1,
64,220,0,4,0,0,35,10,1,1,1,,2,1,"23,112",62,37,5,0,56,87,17,0,24,0,,10,34,100,,50,0,3,2,1,1,3,4,2,1,2,1,,1,2,5,,3,1,73,49,,18,57,,3,,2,3,
65,"95,721",,,7,0,35,10,,,1,,2,1,"287,164",100,100,35,7,50,0,10,0,1,74,33,10,92,23,,65,0,5,5,2,1,3,1,1,1,1,3,2,1,4,2,,3,1,"31,588",73,,14,68,,3,,2,3,
66,"56,795",68,45,7,0,10,10,3,3,1,,1,1,"4,964",45,9,84,7,50,0,54,0,,0,,64,21,45,,46,0,3,1,4,1,3,1,3,1,,1,,3,2,3,,3,1,"1,295",40,5,64,15,,3,1,3,2,
67,"13,723",24,43,5,0,35,10,2,3,1,,2,1,"133,090",100,93,5,5,48,64,26,0,60,20,4,10,85,6,,49,0,5,4,1,1,3,3,2,1,3,2,1,1,4,1,,3,1,"4,529",43,,35,29,,3,,2,2,
68,930,2,30,10,0,50,10,1,2,1,,3,1,"110,645",87,89,7,10,63,90,24,0,4,0,,10,50,5,,75,100,4,4,1,1,4,4,2,1,1,1,,1,3,1,,3,5,307,44,,56,6,,3,,3,1,
69,"66,366",73,43,5,0,35,10,3,3,1,,2,1,"39,373",79,54,100,5,74,98,26,0,,24,100,64,47,99,,27,0,3,3,5,1,4,5,2,1,,2,5,3,3,5,,2,1,"21,901",68,,12,73,,3,,1,3,
70,"11,573",21,49,0,0,35,10,2,3,1,,2,1,"40,591",87,56,11,0,23,45,13,0,32,0,,10,50,10,,50,63,4,3,1,1,2,3,2,1,2,1,,1,3,1,,3,3,"3,819",45,,22,50,,3,,2,3,
71,"4,910",9,5,0,0,10,10,1,1,1,,1,1,"4,234",12,8,40,0,40,0,29,0,15,0,,10,10,79,89,53,0,1,1,3,1,3,1,2,1,2,1,,1,1,3,4,3,1,"9,487",49,34,62,25,,3,2,3,2,
72,"2,479",5,83,0,0,50,10,1,4,1,,3,1,"36,355",49,52,4,0,74,98,10,0,6,0,,34,17,23,,35,0,3,3,1,1,4,5,1,1,1,1,,2,2,2,,2,1,818,62,,19,56,,3,,2,3,
73,"22,585",,,,0,50,10,,,,,3,1,"67,755",100,74,100,,0,0,13,0,12,0,,10,70,100,,78,0,5,3,5,,1,1,2,1,1,1,,1,3,5,,3,1,"7,453",67,,7,86,,3,,1,4,
74,"24,778",39,12,,0,10,10,3,1,,,1,1,"3,816",10,7,92,,59,76,69,100,17,0,92,64,2,100,,20,0,1,1,4,,3,3,3,5,2,1,4,3,1,5,,2,1,"1,533",46,6,64,33,,3,1,3,2,
75,"1,647",3,4,0,0,10,10,1,1,1,,1,1,"3,601",9,7,9,0,84,93,23,0,26,0,,10,0,100,,1,0,1,1,1,1,5,4,2,1,2,1,,1,1,5,,1,1,"1,876",32,8,70,18,,2,1,3,2,
76,"13,859",,,,0,10,10,,,,,1,1,"13,859",45,24,100,,12,0,26,0,68,2,100,64,22,100,,38,0,3,2,5,,1,1,2,1,3,1,5,3,2,5,,2,1,"3,465",73,,68,79,,3,,3,3,
77,"45,072",59,96,0,0,50,10,3,5,1,,3,1,"46,828",85,61,100,0,100,98,26,0,43,25,100,10,54,100,,32,0,4,3,5,1,5,5,2,1,3,2,5,1,3,5,,2,1,"14,874",68,,12,73,,3,,1,3,
78,"7,143",13,2,0,0,50,10,2,1,1,,3,1,"21,428",,,,0,,,,,45,,,,,,,58,,,,,1,,,,,3,,,,,,,3,,"2,357",49,,18,57,,3,,2,3,
79,"5,321",10,32,0,0,35,10,1,2,1,,2,1,"156,323",96,96,4,0,55,56,10,0,41,54,5,25,70,5,,54,0,5,5,1,1,3,3,1,1,3,3,1,2,3,1,,3,1,"1,756",75,,12,72,,3,,1,3,
80,"2,352",5,3,10,0,10,10,1,1,1,,1,1,"18,280",38,31,10,10,72,97,82,100,96,2,10,10,68,98,99,41,0,2,2,1,1,4,5,4,5,5,1,1,1,3,5,5,3,1,"3,864",42,15,64,13,,3,2,3,2,
81,"9,593",17,36,0,0,35,10,2,2,1,,2,1,"69,613",83,75,30,0,22,0,29,0,50,7,27,10,83,72,,42,0,4,3,2,1,2,1,2,1,3,1,2,1,4,3,,3,1,"3,166",38,,53,10,,2,,3,1,
82,"1,734",3,0,0,0,10,10,1,1,1,,1,1,"1,734",,,,0,,,,,,,,,,,,36,,,,,1,,,,,,,,,,,,2,,"2,979",70,12,68,81,90,3,1,3,4,4
83,"28,167",43,100,0,0,50,10,3,5,1,,3,1,"71,000",93,76,7,0,89,98,23,0,44,0,,10,67,7,,74,100,4,3,1,1,5,5,2,1,3,1,,1,3,1,,3,5,"9,295",52,,27,41,,3,,2,3,
84,"106,129",88,51,1,0,10,10,4,3,1,,1,1,"14,844",56,26,67,1,50,0,10,0,,0,,10,27,49,,57,0,3,2,3,1,3,1,1,1,,1,,1,2,3,,3,1,"6,075",72,23,70,83,,3,2,3,4,
85,"40,823",56,98,,0,10,10,3,5,,,1,1,"86,335",94,82,6,,20,0,19,0,39,39,5,10,66,6,,65,0,4,4,1,,2,1,2,1,3,3,1,1,3,1,,3,1,"10,206",54,,67,58,,3,,3,3,
86,"10,574",19,83,0,0,50,90,2,4,1,,3,4,"13,471",54,24,100,0,100,98,17,0,39,0,,10,25,99,,63,0,3,2,5,1,5,5,2,1,3,1,,1,2,5,,3,1,"3,490",89,,3,95,,4,,1,5,
87,"2,433",5,5,0,0,10,10,1,1,1,,1,1,"2,728",7,5,15,0,76,88,17,0,28,0,,32,1,95,,32,87,1,1,2,1,4,4,2,1,2,1,,2,1,5,,2,4,"1,216",60,,93,56,,3,,4,3,
88,"2,407",5,3,0,0,10,10,1,1,1,,1,1,"2,225",7,4,90,0,50,0,23,0,87,0,90,64,2,100,,60,0,1,1,4,1,3,1,2,1,4,1,4,3,1,5,,3,1,"3,044",71,12,67,77,,3,1,3,3,
89,"25,622",40,26,0,0,35,10,3,2,1,,2,1,"33,425",92,49,86,0,0,0,25,0,28,0,,10,43,48,,50,0,4,3,4,1,1,1,2,1,2,1,,1,3,3,,3,1,"8,455",56,,25,1,,3,,2,1,
90,"1,127",2,59,0,0,50,90,1,3,1,,3,4,"28,089",63,43,100,0,100,98,23,0,13,0,,10,33,99,,83,100,3,3,5,1,5,5,2,1,2,1,,1,2,5,,4,5,372,50,,25,46,,3,,2,3,
91,"8,846",16,7,0,0,10,10,2,1,1,,1,1,"27,846",55,43,30,0,50,0,69,100,95,3,30,32,17,66,,58,0,3,3,2,1,3,1,3,5,5,1,2,2,2,3,,3,1,"1,533",46,6,64,33,,3,1,3,2,
92,"193,407",98,28,0,0,10,10,5,2,1,,1,1,"193,407",,,,0,,,,,12,,,,,,,65,,,,,1,,,,,1,,,,,,,3,,"48,352",57,,69,85,,3,,3,4,
93,"10,184",18,20,,0,35,10,2,2,,,2,1,"68,447",94,75,61,,12,0,20,0,20,0,,40,56,42,,31,0,4,3,3,,1,1,2,1,2,1,,3,3,3,,2,1,"3,361",58,,27,40,,3,,2,3,
94,"8,611",16,24,0,0,35,10,2,2,1,,2,1,"17,642",61,30,100,0,12,0,26,0,31,0,,64,26,99,,45,0,3,2,5,1,1,1,2,1,2,1,,3,2,5,,3,1,"2,842",62,,9,81,,3,,1,4,
95,"50,000",,,,0,50,10,,,,,3,1,"50,000",,,,,,,,,58,,,,,,,52,,,,,,,,,,3,,,,,,,3,,"4,418",46,17,100,0,,3,2,5,1,
96,"9,486",17,36,,0,35,10,2,2,,,2,1,"135,379",100,93,5,,8,0,26,0,31,0,,10,83,4,,41,0,5,4,1,,1,1,2,1,2,1,,1,4,1,,3,1,"3,130",57,,11,77,,3,,1,3,
97,"4,969",9,26,,0,50,90,1,2,,,3,4,"7,766",21,14,100,,100,98,26,0,,11,100,100,9,99,,6,0,2,2,5,,5,5,2,1,,1,5,5,1,5,,1,1,"1,640",68,,12,73,,3,,1,3,
98,"23,210",37,66,,0,10,10,2,3,,,1,1,"42,518",85,57,82,,15,0,25,0,,0,,27,55,82,,51,0,4,3,4,,1,1,2,1,,1,,2,3,4,,3,1,"6,827",51,26,59,23,,3,2,3,2,
99,"3,394",7,14,,0,50,10,1,2,,,3,1,"2,871",9,6,100,,100,98,17,0,43,4,100,100,4,100,,35,0,1,1,5,,5,5,2,1,3,1,5,5,1,5,,2,1,"1,120",71,,11,76,,3,,1,3,
100,0,,,,0,35,10,,,,,2,1,"98,467",99,86,7,,50,0,23,0,72,15,6,10,99,37,93,38,0,5,4,1,,3,1,2,1,3,2,1,1,5,2,4,2,1,0,67,,13,71,,3,,2,3,